trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-64.62382736958259,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-45.33655060276673,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-42.24652838207308,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-31.71837068629616,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,19.84961081097837,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-53.653273705252836,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,10,-14.5463818811973,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,27.16624514319231,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,9.978620060863687,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-10.238845340861163,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,13.022885808814943,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-1.9314849714108175,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,35.953885596313356,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,27.795886492228178,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-36.721401988176595,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,7.530326805357641,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-18.37558402605887,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,4.710457281791172,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,23.72268861580701,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,6,19.605224510942257,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,26.871516645344105,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-1.1692035813494828,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,22.477575586664656,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,25.844967927593586,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,21.366991598792236,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,28.895359879126286,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,28.81185286679729,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,3,24.834219555447845,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,32.65370105731134,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,10,25.93981965052735,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
